accelX accelY accelZ gyroX gyroY gyroZ magnetX magnetY magnetZ
-9074.321 29341.9 118480.9 0.02369127 -0.4018175 0.1463042 -11610 594000 -5355
15754.36 23140.72 95807.12 0.02369127 -0.3934361 0.1308826 -11610 604500 -5385
-14629.05 38799.31 102990 0.02369127 -0.3934361 0.1308826 -11715 568500 -5325
5435.016 17298.67 107467.3 0.02369127 -0.3800437 0.1222423 -11670 585000 -5370
-13671.34 6524.413 123317.4 0.02369127 -0.3636822 0.1222423 -11490 588000 -5340
-1005.598 28743.33 101385.8 0.02369127 -0.3636822 0.1161773 -11325 565500 -5115
-22649.89 33771.32 90611.53 0.02369127 -0.3636822 0.1226259 -11460 517500 -5175
26001.88 4920.246 95831.06 0.02369127 -0.3432676 0.1032397 -11730 514500 -5130
-10055.98 12701.66 109837.6 0.02369127 -0.3318447 0.1032397 -12000 502500 -5430
-3926.619 11265.09 106246.2 0.02369127 -0.3205291 0.1032397 -12120 486000 -5280
-11181.29 22326.66 106677.1 0.02369127 -0.3147554 0.1032397 -12225 457500 -5100
7326.497 42223.13 106701.1 0.02369127 -0.3147554 0.09128553 -12480 454500 -5280
20231.67 34585.38 74665.63 0.02369127 -0.3229387 0.07351433 -12705 414000 -5160
32466.44 23451.97 101409.7 0.02369127 -0.3176402 0.05434518 -12780 411000 -5055
42282.98 8631.38 89629.88 0.02369127 -0.3061183 0.02957059 -12705 403500 -5190
48627.83 -12749.54 72678.37 0.02369127 -0.2836131 -0.00139527 -12810 411000 -5430
