accelX accelY accelZ gyroX gyroY gyroZ magnetX magnetY magnetZ
-9074.321 29341.9 -118480.9 119.6332 -212.1012 36.53979 1290 -1560 -3855
15754.36 23140.72 -95807.12 519.8664 1091.4 -878.766 1290 -1455 -3885
-14629.05 38799.31 -102990 1076.273 -1149.246 244.5929 1185 -1815 -3825
5435.016 17298.67 -107467.3 329.0712 -583.0387 1267.174 1230 -1650 -3870
-13671.34 6524.413 -123317.4 631.5099 161.1799 57.5262 1410 -1620 -3840
-1005.598 28743.33 -101385.8 1232.02 2293.591 -1609.668 1575 -1845 -3615
-22649.89 33771.32 -90611.53 235.0052 -460.9553 -2502.603 1440 -2325 -3675
26001.88 4920.246 -95831.06 361.2433 -1253.006 -2625.432 1170 -2355 -3630
-10055.98 12701.66 -109837.6 402.0442 -116.5438 -401.7246 900 -2475 -3930
-3926.619 11265.09 -106246.2 -11.50524 1633.105 -965.1618 780 -2640 -3780
-11181.29 22326.66 -106677.1 -231.3832 1400.017 -1691.057 675 -2925 -3600
7326.497 42223.13 -106701.1 -451.048 457.866 -1387.234 420 -2955 -3780
20231.67 34585.38 -74665.63 117.2895 1192.071 205.7094 195 -3360 -3660
32466.44 23451.97 -101409.7 216.8951 86.18277 390.1129 120 -3390 -3555
42282.98 8631.38 -89629.88 1239.05 -1384.144 -114.6263 195 -3465 -3690
48627.83 -12749.54 -72678.37 1939.805 -676.1459 -1527.853 90 -3390 -3930
